*Date;*Amount;Payee;Description;Reference;Check Number
1/02/2025;127;;Bal Brought Forward;;
1/02/2025;160.00;;Monthly Acc Fee Headoffice *;;
1/02/2025;1;;Transaction Charge Headoffice *;;
1/02/2025;660.00;;Admin Charge Headoffice *;;
1/02/2025;100.00;;Unauth Dr Bal Fee Headoffice *;;
1/02/2025;100.00;;Unauth Dr Bal Fee Headoffice *;;
1/02/2025;1;;Debit Interest Headoffice;;
1/02/2025;15.89;;Int On Excess Amnt Headoffice;;
1/02/2025;7.05;;Commitment Fee Headoffice *;;
1/02/2025;1.15;;Interest Adjust Headoffice;;
1/02/2025;0.10;;Commit Fee Adjust Headoffice *;;
1/02/2025;3;;Acb Credit Merch/Serv;;
1/02/2025;0.10;;Interest Adjust Headoffice;;
1/02/2025;0.01;;Commit Fee Adjust Headoffice *;;
1/02/2025;260.00;;Acb Credit Merch/Serv;;
1/02/2025;19.75;;Ext Stop Order To Settlement;;
1/02/2025;19.75;;Ext Stop Order To Settlement;;
1/02/2025;19.75;;Ext Stop Order To Settlement;;
1/02/2025;100.00;;Honouring Fee Headoffice;;
1/02/2025;100.00;;Honouring Fee Headoffice;;
1/02/2025;19.75;;Acb Debit:External Settlement;;
1/02/2025;19.75;;Acb Debit:External Settlement;;
1/02/2025;133;;Acb Credit Settlement;;
1/02/2025;19.75;;Acb Debit:External Settlement;;
1/02/2025;10.00;;Digital Payment Dt Settlement;;
2/02/2025;2;;Acb Credit Merch/Serv;;
2/02/2025;912.05;;Acb Credit Merch/Serv;;
3/02/2025;6;;Acb Credit Settlement;;
4/02/2025;5;;Acb Credit Merch/Serv;;
4/02/2025;7.50;;Payshap Ext Debit Settlement;;
4/02/2025;7.50;;Payshap Ext Debit Settlement;;
4/02/2025;50.00;;Atm Withdrawal La Lucia B;;
4/02/2025;19.75;;Acb Debit:External Settlement;;
4/02/2025;522.40;;Acb Credit Settlement;;
4/02/2025;40.00;;Imdte Digital Pmt Settlement;;
4/02/2025;40.00;;Imdte Digital Pmt Settlement;;
5/02/2025;2;;Acb Credit Merch/Serv;;
5/02/2025;48.60;;Notific Fee Sms Notifyme;;
5/02/2025;2;;Immediate Trf Cr Nk;;
5/02/2025;10.00;;Digital Payment Dt Settlement;;
5/02/2025;1.25;;Proof Of Paymt Sms Settlement;;
5/02/2025;19.75;;Acb Debit:External Settlement;;
5/02/2025;19.75;;Acb Debit:External Settlement;;
5/02/2025;19.75;;Acb Debit:External Settlement;;
5/02/2025;305.10;;Acb Credit Settlement;;
5/02/2025;6;;Acb Credit Settlement;;
5/02/2025;19;;Int Debit Order To Settlement;;
6/02/2025;320.00;;Acb Credit Merch/Serv;;
6/02/2025;3;;Acb Credit Merch/Serv;;
6/02/2025;100.00;;Honouring Fee Headoffice;;
6/02/2025;100.00;;Honouring Fee Headoffice;;
6/02/2025;100.00;;Honouring Fee Headoffice;;
6/02/2025;100.00;;Honouring Fee Headoffice;;
6/02/2025;10.00;;Digital Payment Dt Settlement;;
6/02/2025;4.40;;Pos Purchase Settlement;;
6/02/2025;4.40;;Pos Purchase Settlement;;
6/02/2025;1;;Acb Credit Settlement;;
6/02/2025;5;;Acb Credit Settlement;;
6/02/2025;2;;Acb Credit Settlement;;
7/02/2025;2;;Acb Credit Merch/Serv;;
7/02/2025;100.00;;Honouring Fee Headoffice;;
7/02/2025;100.00;;Honouring Fee Headoffice;;
7/02/2025;100.00;;Honouring Fee Headoffice;;
7/02/2025;10.00;;Digital Payment Dt Settlement;;
7/02/2025;10.00;;Digital Payment Dt Settlement;;
7/02/2025;10.00;;Digital Payment Dt Settlement;;
7/02/2025;10.00;;Digital Payment Dt Settlement;;
7/02/2025;10.00;;Digital Payment Dt Settlement;;
7/02/2025;10.00;;Digital Payment Dt Settlement;;
7/02/2025;40.00;;Imdte Digital Pmt Settlement;;
7/02/2025;4.40;;Pos Purchase Settlement;;
7/02/2025;19.75;;Acb Debit:External Settlement;;
7/02/2025;4;;Acb Credit Settlement;;
7/02/2025;19.75;;Acb Debit:External Settlement;;
8/02/2025;260.00;;Acb Credit Merch/Serv;;
8/02/2025;4.40;;Pos Purchase Settlement;;
9/02/2025;1;;Acb Credit Merch/Serv;;
9/02/2025;6;;Acb Credit Merch/Serv;;
10/02/2025;2;;Digital Payment Cr Settlement;;
10/02/2025;10.00;;Digital Payment Dt Settlement;;
10/02/2025;9;;Acb Credit Settlement;;
11/02/2025;3;;Acb Credit Merch/Serv;;
11/02/2025;3;;Acb Credit Merch/Serv;;
11/02/2025;50.00;;Atm Withdrawal La Lucia B;;
11/02/2025;19.75;;Acb Debit:External Settlement;;
12/02/2025;7.50;;Payshap Ext Debit Settlement;;
