*Date;*Amount;Payee;Description;Reference;Check Number
1/11/2024;-160.00;Headoffice;Monthly Acc Fee;;
1/11/2024;-1134.25;Headoffice;Transaction Charge;;
1/11/2024;-722.00;Headoffice;Admin Charge;;
1/11/2024;-100.00;Headoffice;Unauth Dr Bal Fee;;
1/11/2024;-100.00;Headoffice;Unauth Dr Bal Fee;;
1/11/2024;-1704.75;Headoffice;Debit Interest;;
1/11/2024;-7.55;Headoffice;Int On Excess Amnt;;
1/11/2024;-14.75;Headoffice;Commitment Fee;;
1/11/2024;0.16;Headoffice;Interest Adjust;;
1/11/2024;-0.01;Headoffice;Commit Fee Adjust;;
1/11/2024;399.00;Merch/Serv;Acb Credit;Absa Card 00481572 283 Dd (Effective 31/10/2024);
1/11/2024;-8469.00;Settlement;Ext Stop Order To;Std S.A. Moto Health Care;
1/11/2024;-219.45;Settlement;Ext Stop Order To;Std S.A. Guardian Employers;
1/11/2024;-2352.90;Settlement;Ext Stop Order To;Std S.A. Freight Tainer;
1/11/2024;-701.71;Settlement;Acb Debit:External;Marshall Ebuc004;
1/11/2024;-915.77;Settlement;Acb Debit:External;Marshall Ekam003;
1/11/2024;133004.17;Settlement;Acb Credit;Finfloor Rental;
1/11/2024;5676.10;Settlement;Acb Credit;Vegmo Accessori;
1/11/2024;-3457.42;Settlement;Acb Debit:External;Mua A001365742;
2/11/2024;-741.00;Settlement;Payshap Ext Debit;Kamel;
2/11/2024;-2991.11;Settlement;Digital Payment Dt;Absa Bank Kamel;
2/11/2024;-1500.00;Settlement;Digital Payment Dt;Absa Bank Kamel;
2/11/2024;-1500.00;Settlement;Digital Payment Dt;Absa Bank Kamel;
2/11/2024;-1700.00;Settlement;Digital Payment Dt;Absa Bank Kamel;
2/11/2024;-2000.00;Settlement;Digital Payment Dt;Absa Bank Hensford;
2/11/2024;-30000.00;Settlement;Digital Payment Dt;Absa Bank Dmbuchanan;
2/11/2024;-353.65;Settlement;Digital Payment Dt;Absa Bank Craft Chem;
2/11/2024;-3000.00;Settlement;Digital Payment Dt;Absa Bank Kamel Potteries;
2/11/2024;-520.00;Settlement;Digital Payment Dt;Absa Bank Kamel;
3/11/2024;520.00;Merch/Serv;Acb Credit;Absa Card 00481572 284 Cc (Effective 01/11/2024);
3/11/2024;480.00;Merch/Serv;Acb Credit;Absa Card 00481572 285 Dd (Effective 02/11/2024);
3/11/2024;-1000.00;Settlement;Pos Cash Wdl;Card No. 2676 Atm Atm Glenashley Gln Durba (Effective 02/11/2024);
3/11/2024;-550.00;Settlement;Payshap Ext Debit;Howard Beattie;
3/11/2024;-2000.00;Settlement;Payshap Ext Debit;Property Tawi;
4/11/2024;1040.00;.A.;Immediate Trf Cr;Std S.A. Carol Lamprecht 18bo374588;
4/11/2024;-1456.99;Settlement;Acb Debit:External;Rebridgem 10460852410003241104;
4/11/2024;1719.75;Settlement;Acb Credit;Francoise Cheyne;
4/11/2024;1300.00;Settlement;Acb Credit;Kerry Toft;
5/11/2024;1605.40;Merch/Serv;Acb Credit;Absa Card 00481572 286 Dd (Effective 04/11/2024);
5/11/2024;603.10;Merch/Serv;Acb Credit;Absa Card 00481572 286 Cc (Effective 04/11/2024);
5/11/2024;-100.00;Headoffice;Honouring Fee;Low Balance (Effective 05/10/2024);
5/11/2024;-100.00;Headoffice;Honouring Fee;Low Balance (Effective 05/10/2024);
5/11/2024;-100.00;Headoffice;Honouring Fee;Low Balance (Effective 05/10/2024);
5/11/2024;-4000.00;Settlement;Digital Payment Dt;Absa Bank Dmbuchanan;
5/11/2024;-58.80;Notifyme;Notific Fee Sms;98 Sms Notifications;
5/11/2024;-5094.23;Settlement;Acb Debit:External;Brolink Hld012035723035159;
5/11/2024;-4496.94;Settlement;Acb Debit:External;Brolink Hld012035723035158;
5/11/2024;-1236.82;Settlement;Acb Debit:External;Telkommobi50292707801166124947;
5/11/2024;-5746.14;Settlement;Imdte Digital Pmt;Absa Bank G And W 16177b1c23;
5/11/2024;-19784.24;Settlement;Int Debit Order To;Absa Bank 7010093630;
6/11/2024;164.80;Merch/Serv;Acb Credit;Absa Card 00481572 287 Cc (Effective 05/11/2024);
6/11/2024;2148.50;Rand;Immediate Trf Cr;Firstrand Farmgirl Flowers 05p726rwtm;
6/11/2024;258.00;Settlement;Payshap Ext Credit;Mbali Mzobe;
6/11/2024;-9315.00;Settlement;Imdte Digital Pmt;Absa Bank Kamel Potteries 16177dc798;
6/11/2024;-1155.00;Settlement;Pos Purchase;Card No. 2676 Spar Eastmans Glena (Effective 04/11/2024);
6/11/2024;-834.06;Settlement;Pos Purchase;Card No. 2676 Superspar Eastmans Kwazu (Effective 04/11/2024);
7/11/2024;2160.10;Merch/Serv;Acb Credit;Absa Card 00481572 288 Dd (Effective 06/11/2024);
7/11/2024;1197.00;Merch/Serv;Acb Credit;Absa Card 00481572 288 Cc (Effective 06/11/2024);
7/11/2024;-100.00;Headoffice;Honouring Fee;Low Balance (Effective 07/10/2024);
7/11/2024;-100.00;Headoffice;Honouring Fee;Low Balance (Effective 07/10/2024);
7/11/2024;-100.00;Headoffice;Honouring Fee;Low Balance (Effective 07/10/2024);
7/11/2024;-2500.00;Settlement;Payshap Ext Debit;;
7/11/2024;-741.75;Settlement;Payshap Ext Debit;Kamel Potteries;
7/11/2024;-700.00;Settlement;Payshap Ext Debit;Howard Beattie;
7/11/2024;-112.20;Settlement;Pos Purchase;Card No. 2676 Bex Durban North Durba (Effective 06/11/2024);
7/11/2024;-957.60;Settlement;Pos Purchase;Card No. 2676 Bex Durban North Durba (Effective 06/11/2024);
7/11/2024;8000.00;Settlement;Acb Credit;000885 - Nolden;
7/11/2024;-4231.17;Settlement;Acb Debit:External;Sahl 1715093 015049813;
7/11/2024;-2578.49;Settlement;Acb Debit:External;Vodacom 0446896847 I0164162;
8/11/2024;2900.50;Merch/Serv;Acb Credit;Absa Card 00481572 289 Cc (Effective 07/11/2024);
8/11/2024;366.80;Merch/Serv;Acb Credit;Absa Card 00481572 289 Dd (Effective 07/11/2024);
8/11/2024;-2700.00;Settlement;Digital Payment Dt;Absa Bank Kamel;
8/11/2024;-3000.00;La Lucia B;Atm Withdrawal;Card No. 2676;
8/11/2024;-1500.00;Settlement;Digital Payment Dt;Absa Bank Kamel;
8/11/2024;-2997.11;Settlement;Digital Payment Dt;Absa Bank Kamel;
8/11/2024;-1700.00;Settlement;Digital Payment Dt;Absa Bank Kamel;
8/11/2024;-941.00;Settlement;Digital Payment Dt;Absa Bank Kamel;
8/11/2024;-2000.00;Settlement;Digital Payment Dt;Absa Bank Hensford;
8/11/2024;-987.34;Settlement;Pos Purchase;Card No. 2676 Bex Durban North Durba (Effective 07/11/2024);
8/11/2024;-55.00;Settlement;Pos Purchase;Card No. 2676 Bex Durban North Durba (Effective 07/11/2024);
8/11/2024;2713.85;Settlement;Acb Credit;Royal Tombstones;
9/11/2024;211.40;Merch/Serv;Acb Credit;Absa Card 00481572 290 Dd (Effective 08/11/2024);
9/11/2024;-500.00;Settlement;Digital Payment Dt;Absa Bank Kamel;
10/11/2024;-9500.00;Settlement;Digital Payment Dt;Absa Bank G Buchanan 11 Ypsila;
10/11/2024;-1.25;Settlement;Proof Of Pmt Email;;
11/11/2024;2000.00;Settlement;Digital Payment Cr;Absa Bank Kamel;
11/11/2024;-200.00;Settlement;Payshap Ext Debit;Kamel;
11/11/2024;-1456.99;Settlement;Acb Debit:External;Rebridgem 10460852410004241111;
11/11/2024;50400.00;Settlement;Acb Credit;Art Culture Alliance;
12/11/2024;1730.30;Merch/Serv;Acb Credit;Absa Card 00481572 291 Dd (Effective 11/11/2024);
12/11/2024;875.00;Settlement;Acb Credit;Ardmore Ceramics;
12/11/2024;1719.75;Settlement;Acb Credit;Francoise Cheyne;
12/11/2024;3095.95;Settlement;Acb Credit;Terry Rens;
13/11/2024;251.30;Merch/Serv;Acb Credit;Absa Card 00481572 293 Dd (Effective 12/11/2024);
13/11/2024;-3358.00;Settlement;Imdte Digital Pmt;Absa Bank Property Tawi 161791898d;
13/11/2024;1455.05;Settlement;Digital Payment Cr;Absa Bank Gill Payment;
13/11/2024;-600.00;Settlement;Payshap Ext Debit;Howard Beattie;
13/11/2024;-635.00;Settlement;Payshap Ext Debit;Howard Beattie;
13/11/2024;-380.88;Settlement;Pos Purchase;Card No. 2676 Hasmart Springfield Kwazu (Effective 11/11/2024);
13/11/2024;5352.50;Settlement;Acb Credit;Royal Tombstones;
13/11/2024;1616.80;Settlement;Acb Credit;Isibindi Industrial Suppl;
14/11/2024;755.55;Merch/Serv;Acb Credit;Absa Card 00481572 294 Cc (Effective 13/11/2024);
14/11/2024;-500.00;Settlement;Payshap Ext Debit;Property Tawi;
14/11/2024;-1500.00;Settlement;Digital Payment Dt;Absa Bank Kamel;
14/11/2024;-1500.00;Settlement;Payshap Ext Debit;Property Tawi;
14/11/2024;-660.00;Settlement;Payshap Ext Debit;Kamel;
14/11/2024;-30.00;Settlement;Pos Purchase;Card No. 2676 Flw*uber Trips Johan (Effective 12/11/2024);
14/11/2024;-76.00;Settlement;Pos Purchase;Card No. 2676 Flw*uber Trips Johan (Effective 12/11/2024);
15/11/2024;1951.97;Merch/Serv;Acb Credit;Absa Card 00481572 295 Dd (Effective 14/11/2024);
15/11/2024;3289.80;Merch/Serv;Acb Credit;Absa Card 00481572 295 Cc (Effective 14/11/2024);
15/11/2024;-7944.44;Settlement;Imdte Digital Pmt;Absa Bank Property Tawi 161796daef;
15/11/2024;-4000.00;La Lucia B;Atm Withdrawal;Card No. 2676;
15/11/2024;-3058.34;Settlement;Imdte Digital Pmt;Absa Bank Eve 161797ae40;
15/11/2024;-5000.00;Settlement;Imdte Digital Pmt;Absa Bank Property Tawi 161798bac6;
15/11/2024;363.50;Settlement;Acb Credit;Oliver , Clay;
15/11/2024;4782.50;Settlement;Acb Credit;Royal Tombstones;
15/11/2024;28750.00;Settlement;Acb Credit;Egg Designs;
16/11/2024;1202.00;Merch/Serv;Acb Credit;Absa Card 00481572 296 Dd (Effective 15/11/2024);
16/11/2024;598.50;Merch/Serv;Acb Credit;Absa Card 00481572 296 Cc (Effective 15/11/2024);
16/11/2024;-2997.11;Settlement;Digital Payment Dt;Absa Bank Kamel;
16/11/2024;-1500.00;Settlement;Digital Payment Dt;Absa Bank Kamel;
16/11/2024;-1700.00;Settlement;Digital Payment Dt;Absa Bank Kamel;
16/11/2024;-941.00;Settlement;Payshap Ext Debit;Kamel;
16/11/2024;-2000.00;Settlement;Digital Payment Dt;Absa Bank Hensford;
16/11/2024;-2100.00;Settlement;Payshap Ext Debit;Diana;
16/11/2024;-8280.00;Settlement;Imdte Digital Pmt;Absa Bank Property Tawi 16179b987a;
16/11/2024;-500.00;Settlement;Digital Payment Dt;Absa Bank Kamel;
16/11/2024;-433.17;Settlement;Pos Purchase;Card No. 2676 Superspar Eastmans Kwazu (Effective 14/11/2024);
17/11/2024;785.00;Merch/Serv;Acb Credit;Absa Card 00481572 297 Cc (Effective 16/11/2024);
17/11/2024;-3733.00;Settlement;Imdte Digital Pmt;Absa Bank Property Tawi 16179e12ad;
17/11/2024;-39.60;Notifyme;Notific Fee Sms;66 Sms Notifications;
17/11/2024;-100.71;Settlement;Pos Purchase;Card No. 2676 Kwikspar Glenore Kwazu (Effective 15/11/2024);
18/11/2024;7439.60;Settlement;Digital Payment Cr;Absa Bank Frazer Wt Earthen;
18/11/2024;520.00;Settlement;Payshap Ext Credit;Delwyn;
18/11/2024;-350.00;Settlement;Payshap Ext Debit;Kamel;
18/11/2024;-1456.99;Settlement;Acb Debit:External;Rebridgem 10460852410005241118;
19/11/2024;-12400.00;Settlement;Imdte Digital Pmt;Absa Bank Property Tawi 1617a2cd90;
19/11/2024;-400.00;Settlement;Payshap Ext Debit;Kamel;
19/11/2024;-555.26;Settlement;Pos Purchase;Card No. 2676 Kwikspar Glenore Kwazu (Effective 16/11/2024);
19/11/2024;-1452.62;Settlement;Pos Purchase;Card No. 2676 Superspar Eastmans Kwazu (Effective 17/11/2024);
20/11/2024;2777.50;Merch/Serv;Acb Credit;Absa Card 00481572 298 Cc (Effective 19/11/2024);
20/11/2024;1361.45;Merch/Serv;Acb Credit;Absa Card 00481572 298 Dd (Effective 19/11/2024);
20/11/2024;520.00;Settlement;Payshap Ext Credit;Corlette Grobler;
21/11/2024;1329.30;Merch/Serv;Acb Credit;Absa Card 00481572 299 Cc (Effective 20/11/2024);
21/11/2024;-8860.00;Settlement;Imdte Digital Pmt;Absa Bank Property Tawi 1617a5ff19;
21/11/2024;-100.00;Settlement;Digital Payment Dt;Absa Bank Lamel;
21/11/2024;-210.04;Settlement;Pos Purchase;Card No. 2676 Kwikspar Glenore Kwazu (Effective 19/11/2024);
21/11/2024;-6611.00;Settlement;Imdte Digital Pmt;Absa Bank Howard Beattie 1617a73b0c;
21/11/2024;50000.00;Settlement;Acb Credit;Art Culture Alliance;
22/11/2024;1463.40;Merch/Serv;Acb Credit;Absa Card 00481572 300 Cc (Effective 21/11/2024);
22/11/2024;-7871.29;Settlement;Imdte Digital Pmt;Absa Bank Property Tawi 1617a7fd05;
22/11/2024;-15000.00;Settlement;Digital Payment Dt;Absa Bank D Mpp;
22/11/2024;-4000.00;Spar River;Atm Withdrawal;Card No. 2676;
22/11/2024;-531.50;Settlement;Pos Purchase;Card No. 2676 Bp Northend S/Station Briar (Effective 20/11/2024);
22/11/2024;-286.77;Settlement;Pos Purchase;Card No. 2676 Kwikspar Glenore Kwazu (Effective 20/11/2024);
22/11/2024;-1013.75;Settlement;Pos Purchase;Card No. 2676 Hasmart Springfield Kwazu (Effective 20/11/2024);
22/11/2024;-1000.00;Settlement;Pos Cash Wdl;Card No. 2676 Atm Atm Glenashley Gln Durba (Effective 21/11/2024);
22/11/2024;2883.40;Settlement;Acb Credit;Vegmo Accessori;
23/11/2024;3321.60;Merch/Serv;Acb Credit;Absa Card 00481572 301 Cc (Effective 22/11/2024);
23/11/2024;-941.00;Settlement;Payshap Ext Debit;Kamel;
23/11/2024;-2997.11;Settlement;Digital Payment Dt;Absa Bank Lamel;
23/11/2024;-1500.00;Settlement;Digital Payment Dt;Absa Bank Kamel;
23/11/2024;-1500.00;Settlement;Digital Payment Dt;Absa Bank Kamel;
23/11/2024;-1700.00;Settlement;Digital Payment Dt;Absa Bank Kamel;
23/11/2024;-2000.00;Settlement;Digital Payment Dt;Absa Bank Hensford;
23/11/2024;-1400.00;Settlement;Payshap Ext Debit;Property Tawi;
23/11/2024;-3000.00;Settlement;Payshap Ext Debit;Property Tawi;
23/11/2024;-500.00;Settlement;Digital Payment Dt;Absa Bank Kamel;
23/11/2024;-306.19;Settlement;Pos Purchase;Card No. 2676 Kwikspar Glenore Kwazu (Effective 21/11/2024);
23/11/2024;499.00;Settlement;Digital Payment Cr;Absa Bank Km Xmas Trees.David;
24/11/2024;2154.50;Merch/Serv;Acb Credit;Absa Card 00481572 302 Cc (Effective 23/11/2024);
24/11/2024;592.80;Merch/Serv;Acb Credit;Absa Card 00481572 303 Cc (Effective 23/11/2024);
25/11/2024;-3340.00;Settlement;Imdte Digital Pmt;Absa Bank Property Tawi 1617ae63c5;
25/11/2024;-3390.00;Settlement;Imdte Digital Pmt;Absa Bank Property Tawi 1617aff751;
25/11/2024;-7067.54;Settlement;Int Debit Order To;Absa Bank 3057859530;
25/11/2024;-1456.99;Settlement;Acb Debit:External;Rebridgem 10460852410006241125;
25/11/2024;574.00;Settlement;Acb Credit;Oliver , Clay;
26/11/2024;1892.00;Merch/Serv;Acb Credit;Absa Card 00481572 304 Dd (Effective 25/11/2024);
26/11/2024;3059.30;Merch/Serv;Acb Credit;Absa Card 00481572 304 Cc (Effective 25/11/2024);
26/11/2024;2109.00;Settlement;Digital Payment Cr;Absa Bank Arabistro Cafe;
26/11/2024;-550.00;Settlement;Payshap Ext Debit;Howard Beattie;
26/11/2024;7138.03;Settlement;Acb Credit;Royal T;
26/11/2024;1628.50;Settlement;Acb Credit;Ramsgate Stationers;
26/11/2024;978.80;Settlement;Acb Credit;Rayne Hampson;
26/11/2024;1300.00;Settlement;Acb Credit;The Pottery;
27/11/2024;1919.20;Merch/Serv;Acb Credit;Absa Card 00481572 305 Dd (Effective 26/11/2024);
27/11/2024;-15410.00;Settlement;Imdte Digital Pmt;Absa Bank Property Tawi 1617b85109;
27/11/2024;-4000.00;La Lucia B;Atm Withdrawal;Card No. 2676;
27/11/2024;-637.00;Settlement;Pos Purchase;Card No. 2676 Mitabyte Sprin (Effective 25/11/2024);
27/11/2024;4112.80;Settlement;Acb Credit;The Pottery937;
27/11/2024;-500.00;Settlement;Payshap Ext Debit;The Courier Guy;
27/11/2024;-1.25;Settlement;Proof Of Paymt Sms;;
28/11/2024;1560.00;Merch/Serv;Acb Credit;Absa Card 00481572 306 Cc (Effective 27/11/2024);
28/11/2024;-2408.00;Settlement;Payshap Ext Debit;Property Tawi;
28/11/2024;-800.00;Settlement;Payshap Ext Debit;Mac Book Pro Insuran;
28/11/2024;-1.25;Settlement;Proof Of Pmt Email;;
28/11/2024;-1364.40;Settlement;Pos Purchase;Card No. 2676 Bex Durban North Durba (Effective 27/11/2024);
28/11/2024;511.40;Settlement;Acb Credit;Investecpbdebbie Holshausen;
29/11/2024;780.00;Merch/Serv;Acb Credit;Absa Card 00481572 307 Cc (Effective 28/11/2024);
29/11/2024;-2000.00;Settlement;Payshap Ext Debit;Property Tawi;
29/11/2024;-4000.00;La Lucia B;Atm Withdrawal;Card No. 2676;
29/11/2024;-1700.00;Settlement;Digital Payment Dt;Absa Bank Kamel;
29/11/2024;-2997.11;Settlement;Digital Payment Dt;Absa Bank Lamel;
29/11/2024;-1500.00;Settlement;Digital Payment Dt;Absa Bank Kamel;
29/11/2024;-1500.00;Settlement;Digital Payment Dt;Absa Bank Kamel;
29/11/2024;-941.00;Settlement;Payshap Ext Debit;Kamel;
29/11/2024;-2000.00;Settlement;Digital Payment Dt;Absa Bank Hensford;
29/11/2024;-750.00;Settlement;Digital Payment Dt;Absa Bank Diana;
29/11/2024;-2100.00;Settlement;Payshap Ext Debit;Diana;
29/11/2024;-12000.00;Settlement;Digital Payment Dt;Absa Bank D Mpp;
29/11/2024;2455.10;Settlement;Acb Credit;Vegmo Accessori;
30/11/2024;-2726.03;Merch/Serv;Acb Debit:Internal;Absa Card Fees/Fooie 00481572 (Effective 29/11/2024);
30/11/2024;3000.00;Settlement;Digital Payment Cr;Absa Bank Kamel;
30/11/2024;-9986.00;Settlement;Imdte Digital Pmt;Absa Bank Property Tawi 1617cb2d7f;
